attempt_no,variant_id,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
29239,000911cbb80fdd8c,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,295,54,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29240,000b16bba7acb471,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,293,52,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29241,000da2018e9db610,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,435,86,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29242,000e169a4efa7885,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,119,17,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29243,00125dcc63decb5c,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,124,22,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29244,0017157cad29ab52,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,324,68,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29245,00259342c512366f,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,813,160,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29246,00264c9fe784c366,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,175,28,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29247,002d4357c35553e0,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,397,80,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29248,002eb7700340deec,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,450,93,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}"
