regime_episode_id,regime,start_time,end_time,h4_bars,duration_hours,median_adx,median_er
1,UNSAFE_SHOCK,2016-11-07 00:00:00+00:00,2016-11-07 04:00:00+00:00,2,8.0,44.17666664702523,0.1565986591499238
2,TRANSITION_UNKNOWN,2016-11-07 08:00:00+00:00,2016-12-22 12:00:00+00:00,205,820.0,30.732401676718577,0.23035230352303562
3,COMPRESSION,2016-12-22 16:00:00+00:00,2016-12-23 08:00:00+00:00,5,20.0,20.68898300290182,0.2163265306122448
4,TRANSITION_UNKNOWN,2016-12-23 12:00:00+00:00,2016-12-23 16:00:00+00:00,2,8.0,17.29495675472396,0.2325724111440476
5,COMPRESSION,2016-12-23 20:00:00+00:00,2016-12-27 08:00:00+00:00,5,20.0,16.311723593582986,0.1138425519461446
6,TRANSITION_UNKNOWN,2016-12-27 12:00:00+00:00,2016-12-27 16:00:00+00:00,2,8.0,19.08496144961406,0.198217962885318
7,BALANCED_RANGE,2016-12-27 20:00:00+00:00,2016-12-28 20:00:00+00:00,7,28.0,20.329644144142996,0.17493975903614148
8,TRANSITION_UNKNOWN,2016-12-29 00:00:00+00:00,2016-12-29 16:00:00+00:00,5,20.0,23.514769475676776,0.3466747523751769
9,TREND_UP,2016-12-29 20:00:00+00:00,2016-12-30 12:00:00+00:00,5,20.0,31.331815653004497,0.4247721500074662
10,TRANSITION_UNKNOWN,2016-12-30 16:00:00+00:00,2017-01-09 16:00:00+00:00,33,132.0,34.87256431112623,0.26530134581626963
11,TREND_UP,2017-01-09 20:00:00+00:00,2017-01-10 20:00:00+00:00,7,28.0,40.71307083385382,0.4347033812512611
12,TRANSITION_UNKNOWN,2017-01-11 00:00:00+00:00,2017-01-12 08:00:00+00:00,9,36.0,42.12440654292078,0.3132659643087464
13,TREND_UP,2017-01-12 12:00:00+00:00,2017-01-12 20:00:00+00:00,3,12.0,40.48532792697189,0.48917748917749143
14,TRANSITION_UNKNOWN,2017-01-13 00:00:00+00:00,2017-01-20 04:00:00+00:00,33,132.0,28.397322751630924,0.24276729559748278
15,BALANCED_RANGE,2017-01-20 08:00:00+00:00,2017-01-24 00:00:00+00:00,12,48.0,21.67801995433551,0.0310754383143319
16,TRANSITION_UNKNOWN,2017-01-24 04:00:00+00:00,2017-01-24 20:00:00+00:00,5,20.0,23.390729353410716,0.049481124981199456
17,BALANCED_RANGE,2017-01-25 00:00:00+00:00,2017-01-26 12:00:00+00:00,10,40.0,19.33560631457004,0.06149461381310617
18,TRANSITION_UNKNOWN,2017-01-26 16:00:00+00:00,2017-01-27 00:00:00+00:00,3,12.0,24.118920055652794,0.3340736040609154
19,TREND_DOWN,2017-01-27 04:00:00+00:00,2017-01-30 00:00:00+00:00,7,28.0,29.33924443194552,0.48249717696402417
20,TRANSITION_UNKNOWN,2017-01-30 04:00:00+00:00,2017-01-31 04:00:00+00:00,7,28.0,24.354963097522134,0.23412947831552505
21,BALANCED_RANGE,2017-01-31 08:00:00+00:00,2017-01-31 16:00:00+00:00,3,12.0,20.979411504495523,0.13129411764705617
22,TRANSITION_UNKNOWN,2017-01-31 20:00:00+00:00,2017-02-07 12:00:00+00:00,30,120.0,23.619836360150636,0.3323003760610101
23,TREND_UP,2017-02-07 16:00:00+00:00,2017-02-07 20:00:00+00:00,2,8.0,32.13923909777459,0.42221918745507103
24,TRANSITION_UNKNOWN,2017-02-08 00:00:00+00:00,2017-02-08 12:00:00+00:00,4,16.0,32.35019035350234,0.3412760102592375
25,TREND_UP,2017-02-08 16:00:00+00:00,2017-02-09 12:00:00+00:00,6,24.0,36.2690257229682,0.5308275056252725
26,TRANSITION_UNKNOWN,2017-02-09 16:00:00+00:00,2017-02-13 04:00:00+00:00,11,44.0,28.612601382714463,0.03728813559322074
27,BALANCED_RANGE,2017-02-13 08:00:00+00:00,2017-02-14 08:00:00+00:00,7,28.0,20.52304160494547,0.12465940054495896
28,TRANSITION_UNKNOWN,2017-02-14 12:00:00+00:00,2017-02-15 16:00:00+00:00,8,32.0,18.174618560844593,0.19473593098497888
29,BALANCED_RANGE,2017-02-15 20:00:00+00:00,2017-02-16 00:00:00+00:00,2,8.0,20.22000960027318,0.15538090939591706
30,TRANSITION_UNKNOWN,2017-02-16 04:00:00+00:00,2017-02-16 12:00:00+00:00,3,12.0,19.92445825661052,0.1792828685258987
31,BALANCED_RANGE,2017-02-16 16:00:00+00:00,2017-02-17 12:00:00+00:00,6,24.0,16.646326448807013,0.1554236570367211
32,TRANSITION_UNKNOWN,2017-02-17 16:00:00+00:00,2017-02-20 00:00:00+00:00,4,16.0,13.517398083902624,0.19589195105808785
33,BALANCED_RANGE,2017-02-20 04:00:00+00:00,2017-02-20 12:00:00+00:00,3,12.0,11.505540888770497,0.13904196693514684
34,TRANSITION_UNKNOWN,2017-02-20 16:00:00+00:00,2017-02-21 12:00:00+00:00,6,24.0,10.309149880797797,0.22279832157783314
35,BALANCED_RANGE,2017-02-21 16:00:00+00:00,2017-02-23 16:00:00+00:00,13,52.0,10.858502937960287,0.04951560818083912
36,TRANSITION_UNKNOWN,2017-02-23 20:00:00+00:00,2017-02-27 00:00:00+00:00,9,36.0,19.392757866492868,0.345205972297176
37,TREND_UP,2017-02-27 04:00:00+00:00,2017-02-27 20:00:00+00:00,5,20.0,28.59347306982133,0.45193412485637685
38,TRANSITION_UNKNOWN,2017-02-28 00:00:00+00:00,2017-03-02 00:00:00+00:00,13,52.0,27.773776357439544,0.11494775102226062
39,BALANCED_RANGE,2017-03-02 04:00:00+00:00,2017-03-02 08:00:00+00:00,2,8.0,21.058055682348737,0.15448379681761704
40,TRANSITION_UNKNOWN,2017-03-02 12:00:00+00:00,2017-03-07 16:00:00+00:00,21,84.0,34.85026231964481,0.30180426462547427
41,TREND_DOWN,2017-03-07 20:00:00+00:00,2017-03-13 04:00:00+00:00,22,88.0,55.58195174770702,0.4664650709672705
42,TRANSITION_UNKNOWN,2017-03-13 08:00:00+00:00,2017-03-16 12:00:00+00:00,20,80.0,31.39905959703043,0.22687227865484974
43,TREND_UP,2017-03-16 16:00:00+00:00,2017-03-16 20:00:00+00:00,2,8.0,32.44854930962021,0.3632835019569889
44,TRANSITION_UNKNOWN,2017-03-17 00:00:00+00:00,2017-03-17 20:00:00+00:00,6,24.0,35.58671614548945,0.33745638098228686
45,TREND_UP,2017-03-20 00:00:00+00:00,2017-03-22 12:00:00+00:00,16,64.0,40.04672978932139,0.4185798662161444
46,TRANSITION_UNKNOWN,2017-03-22 16:00:00+00:00,2017-03-22 20:00:00+00:00,2,8.0,42.039330576927014,0.43606644537568706
47,TREND_UP,2017-03-23 00:00:00+00:00,2017-03-23 16:00:00+00:00,5,20.0,42.42381308468364,0.4315573770491816
48,TRANSITION_UNKNOWN,2017-03-23 20:00:00+00:00,2017-03-27 04:00:00+00:00,9,36.0,38.79276860363554,0.24769585253456647
49,TREND_UP,2017-03-27 08:00:00+00:00,2017-03-27 16:00:00+00:00,3,12.0,40.32933226080512,0.4463752852378432
50,TRANSITION_UNKNOWN,2017-03-27 20:00:00+00:00,2017-03-30 12:00:00+00:00,17,68.0,29.65030561408976,0.12191266548113244
51,BALANCED_RANGE,2017-03-30 16:00:00+00:00,2017-03-31 00:00:00+00:00,3,12.0,21.178667905913493,0.02357604840392011
52,TRANSITION_UNKNOWN,2017-03-31 04:00:00+00:00,2017-04-01 00:00:00+00:00,6,24.0,23.974645271494524,0.284190381504113
53,BALANCED_RANGE,2017-04-03 00:00:00+00:00,2017-04-03 08:00:00+00:00,3,12.0,18.943795180803114,0.14679358717435162
54,TRANSITION_UNKNOWN,2017-04-03 12:00:00+00:00,2017-04-03 16:00:00+00:00,2,8.0,17.748598232960425,0.13430054805488348
55,COMPRESSION,2017-04-03 20:00:00+00:00,2017-04-04 04:00:00+00:00,3,12.0,17.9579725610471,0.12654246310186232
56,BALANCED_RANGE,2017-04-04 08:00:00+00:00,2017-04-05 20:00:00+00:00,10,40.0,20.050751629267396,0.1094578722829734
