attempt_no,variant_id,regime_owner,mechanic,parameters_json
20120,6cdac9597047fb32,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":2,""signal_hour"":12,""stop_atr"":1.0,""target_r"":1.25,""weekday_group"":""MON_THU""}"
20121,00dce18af77688f4,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":6,""signal_hour"":14,""stop_atr"":1.0,""target_r"":1.0,""weekday_group"":""ALL""}"
20122,05b30e1555afa34b,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":8,""signal_hour"":6,""stop_atr"":1.5,""target_r"":2.5,""weekday_group"":""ALL""}"
20123,e3d018a288ef607e,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":6,""signal_hour"":14,""stop_atr"":1.0,""target_r"":1.25,""weekday_group"":""TUE_FRI""}"
20124,a756ba0c84be244c,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":4,""signal_hour"":6,""stop_atr"":2.0,""target_r"":1.0,""weekday_group"":""MON_THU""}"
20125,9f4b16e94ddeb0c6,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":8,""signal_hour"":20,""stop_atr"":2.0,""target_r"":2.5,""weekday_group"":""ALL""}"
20126,391d394638d30b56,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":2,""signal_hour"":12,""stop_atr"":2.0,""target_r"":2.0,""weekday_group"":""MON_THU""}"
20127,761ff133ee1afd30,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":12,""signal_hour"":14,""stop_atr"":2.0,""target_r"":1.0,""weekday_group"":""TUE_FRI""}"
20128,9dd6fdbc7ad5c612,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":4,""signal_hour"":16,""stop_atr"":1.0,""target_r"":1.5,""weekday_group"":""TUE_FRI""}"
20129,f933e6cc6cf02ada,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":4,""signal_hour"":6,""stop_atr"":1.0,""target_r"":2.5,""weekday_group"":""TUE_FRI""}"
20130,ac29c153dbffb651,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":6,""signal_hour"":20,""stop_atr"":2.0,""target_r"":1.0,""weekday_group"":""MON_THU""}"
20131,9b2ed39e776a76e5,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":4,""signal_hour"":8,""stop_atr"":1.25,""target_r"":1.5,""weekday_group"":""TUE_FRI""}"
20132,ef51ef84d3aba594,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":2,""signal_hour"":20,""stop_atr"":1.0,""target_r"":1.0,""weekday_group"":""MON_THU""}"
20133,4ce52913d52b356f,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":6,""signal_hour"":12,""stop_atr"":1.25,""target_r"":1.5,""weekday_group"":""ALL""}"
20134,33cf8d8ba74c7998,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":6,""signal_hour"":12,""stop_atr"":1.25,""target_r"":1.25,""weekday_group"":""TUE_FRI""}"
20135,8b9ffe7c449a0c98,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":6,""signal_hour"":12,""stop_atr"":2.0,""target_r"":1.0,""weekday_group"":""MON_THU""}"
20136,960f19c27f5c8aba,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":12,""signal_hour"":0,""stop_atr"":1.25,""target_r"":2.0,""weekday_group"":""ALL""}"
20137,6ddd23d877e6a132,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":6,""signal_hour"":16,""stop_atr"":1.0,""target_r"":2.5,""weekday_group"":""TUE_FRI""}"
20138,8ddb09897969a267,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":2,""signal_hour"":8,""stop_atr"":1.0,""target_r"":2.5,""weekday_group"":""TUE_FRI""}"
20139,d9dc9a5365d75cc8,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":1,""hold_hours"":4,""signal_hour"":2,""stop_atr"":1.0,""target_r"":1.0,""weekday_group"":""MON_THU""}"
20140,a9ce5bca67ffe6be,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":6,""signal_hour"":8,""stop_atr"":1.5,""target_r"":1.0,""weekday_group"":""ALL""}"
20141,e5ae6a2a472ccc57,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":12,""signal_hour"":2,""stop_atr"":2.0,""target_r"":1.0,""weekday_group"":""TUE_FRI""}"
20142,2a6b3d68253bb62f,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":6,""signal_hour"":14,""stop_atr"":1.0,""target_r"":2.0,""weekday_group"":""TUE_FRI""}"
20143,57b3a4012d65ca2f,CHOP,CHOP_FIXED_CLOCK_CARRY,"{""fixed_direction"":-1,""hold_hours"":4,""signal_hour"":6,""stop_atr"":1.5,""target_r"":1.5,""weekday_group"":""ALL""}"
