attempt_no,variant_id,geometry_id,history_mode,minimum_cell_rows,prior_strength,lcb_z,minimum_lcb_r,minimum_action_gap_r,maximum_trades_per_utc_day,regime_owner,schema_id
22654,0089443affceb89e,T_G1_FAST,ROLLING_8Y,48,128.0,1.5,0.0,0.0,2,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22655,008a94d7e321d933,T_G3_EXTENDED,EXPANDING,96,128.0,0.5,0.01,0.0,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22656,008c37d5f1400ae5,T_G2_STANDARD,ROLLING_4Y,96,24.0,0.5,0.01,0.03,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22657,008f804d847b2ec2,T_G3_EXTENDED,EXPANDING,48,128.0,0.5,0.05,0.03,2,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22658,009270a17bbf6f1b,T_G2_STANDARD,EXPANDING,48,64.0,2.0,0.05,0.01,6,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22659,00936c7b6741408f,T_G1_FAST,ROLLING_8Y,48,128.0,2.0,0.025,0.03,2,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22660,00945aefebe20488,T_G1_FAST,EXPANDING,160,24.0,1.0,0.025,0.01,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22661,00956704ebcfe023,T_G2_STANDARD,EXPANDING,48,128.0,1.5,0.0,0.01,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22662,0098289a6c4e77e1,T_G2_STANDARD,ROLLING_4Y,96,128.0,0.5,0.05,0.01,2,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22663,009a721f2136da2d,T_G2_STANDARD,EXPANDING,24,24.0,0.5,0.0,0.03,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22664,00aca05eaa3b9657,T_G3_EXTENDED,EXPANDING,96,24.0,1.0,0.0,0.03,2,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22665,00b0dd90cb7f8ed0,T_G2_STANDARD,ROLLING_8Y,96,64.0,1.0,0.05,0.0,6,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22666,00b89f373b79338e,T_G2_STANDARD,ROLLING_8Y,24,24.0,1.0,0.01,0.01,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22667,00c0d1c7f591198f,T_G3_EXTENDED,ROLLING_4Y,160,64.0,2.0,0.01,0.03,6,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22668,00c30b33eaca3ba7,T_G1_FAST,EXPANDING,24,24.0,1.5,0.05,0.03,4,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22669,00c3b643fc42deed,T_G3_EXTENDED,ROLLING_4Y,160,64.0,2.0,0.01,0.01,6,TRANSITION,T01_ANCESTRY_AGE_MOMENTUM
22670,00026c09bb3c1ecc,T_G3_EXTENDED,ROLLING_8Y,160,64.0,1.5,0.05,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22671,00046ff965b5d73a,T_G2_STANDARD,ROLLING_8Y,160,128.0,0.5,0.025,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22672,000872fa121152c5,T_G3_EXTENDED,ROLLING_4Y,24,24.0,1.5,0.01,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22673,000c18d874765ac5,T_G1_FAST,EXPANDING,96,128.0,0.5,0.025,0.03,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22674,000d9d7e0ca62186,T_G2_STANDARD,EXPANDING,160,128.0,0.5,0.0,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22675,000f8723b171258b,T_G2_STANDARD,ROLLING_8Y,160,24.0,0.5,0.05,0.0,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22676,00111ccff35fe1c4,T_G2_STANDARD,EXPANDING,24,64.0,1.0,0.0,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22677,00177dd8d349d8ad,T_G3_EXTENDED,EXPANDING,48,24.0,1.5,0.0,0.01,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22678,0018fdaa4420a6da,T_G3_EXTENDED,ROLLING_4Y,160,64.0,0.5,0.01,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22679,001f7e5c9372b599,T_G3_EXTENDED,ROLLING_4Y,48,128.0,2.0,0.0,0.03,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22680,00233b5b1fc2f24a,T_G3_EXTENDED,ROLLING_8Y,48,24.0,1.5,0.01,0.0,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22681,002343e6396bca4e,T_G1_FAST,ROLLING_4Y,96,128.0,2.0,0.05,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22682,0029683fdabcf19c,T_G2_STANDARD,EXPANDING,48,24.0,2.0,0.05,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22683,002bd5beea576089,T_G2_STANDARD,ROLLING_4Y,160,128.0,0.5,0.025,0.01,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22684,002d7e42d870348d,T_G2_STANDARD,ROLLING_4Y,24,128.0,1.0,0.025,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22685,002fcb4080f6d3fa,T_G1_FAST,ROLLING_8Y,160,128.0,1.5,0.01,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22686,0033a2361175b429,T_G1_FAST,ROLLING_4Y,48,128.0,2.0,0.01,0.01,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22687,00368f699daf6968,T_G3_EXTENDED,ROLLING_8Y,48,64.0,2.0,0.025,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22688,003a07dd5528a90f,T_G2_STANDARD,ROLLING_8Y,96,128.0,1.5,0.0,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22689,003bc6db665cd2cf,T_G3_EXTENDED,ROLLING_4Y,96,24.0,1.5,0.0,0.0,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22690,003ffb3797d8505c,T_G1_FAST,ROLLING_4Y,160,24.0,0.5,0.05,0.0,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22691,00458fe1243af5e8,T_G2_STANDARD,EXPANDING,160,64.0,1.5,0.0,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22692,00462d7b1ec08a0f,T_G3_EXTENDED,ROLLING_8Y,48,64.0,0.5,0.05,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22693,0048b034418fb874,T_G3_EXTENDED,EXPANDING,24,128.0,1.5,0.025,0.03,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22694,005371f48e595858,T_G3_EXTENDED,ROLLING_4Y,96,24.0,1.5,0.01,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22695,0054eb9b70d5f41a,T_G2_STANDARD,EXPANDING,24,64.0,1.0,0.01,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22696,0059da3e6cb2ef4d,T_G1_FAST,EXPANDING,160,128.0,1.0,0.0,0.0,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22697,005a2daba63ae4a2,T_G2_STANDARD,ROLLING_4Y,96,64.0,2.0,0.025,0.0,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22698,005ebaa07daa86ce,T_G2_STANDARD,ROLLING_4Y,160,24.0,2.0,0.0,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22699,005f269f0e0dab22,T_G3_EXTENDED,EXPANDING,96,128.0,1.0,0.05,0.0,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22700,0061d25bd5385244,T_G3_EXTENDED,ROLLING_8Y,160,128.0,2.0,0.025,0.03,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22701,0062a847c6740e4c,T_G1_FAST,ROLLING_8Y,96,128.0,2.0,0.01,0.03,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22702,00668abd164a6e78,T_G2_STANDARD,ROLLING_8Y,160,24.0,1.5,0.01,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22703,006f36fc27532cba,T_G1_FAST,ROLLING_8Y,160,128.0,0.5,0.025,0.0,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22704,006fc788dc36c975,T_G2_STANDARD,ROLLING_4Y,48,24.0,2.0,0.05,0.01,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22705,00715225e4c8d3c4,T_G3_EXTENDED,ROLLING_8Y,24,24.0,1.0,0.05,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22706,0076828ca8ba30ea,T_G2_STANDARD,EXPANDING,48,24.0,2.0,0.025,0.0,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22707,0081eeb8983cb98b,T_G3_EXTENDED,ROLLING_4Y,160,24.0,0.5,0.01,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22708,0082c906ea49a281,T_G3_EXTENDED,ROLLING_8Y,24,128.0,1.5,0.025,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22709,0085ac560b4e494c,T_G2_STANDARD,EXPANDING,48,128.0,1.5,0.01,0.03,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22710,008a643b79477b6d,T_G1_FAST,ROLLING_8Y,48,128.0,2.0,0.0,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22711,00936cc49b90eecd,T_G3_EXTENDED,EXPANDING,24,128.0,1.5,0.025,0.0,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22712,0096dd7c5137a19f,T_G2_STANDARD,ROLLING_4Y,96,128.0,2.0,0.01,0.0,6,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22713,009b2fef64e1b795,T_G2_STANDARD,ROLLING_4Y,96,24.0,1.0,0.0,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22714,009c2665cbdb4e08,T_G2_STANDARD,ROLLING_4Y,48,64.0,1.0,0.01,0.03,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22715,009c4f4436930938,T_G1_FAST,EXPANDING,48,128.0,1.0,0.025,0.03,2,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22716,009ea14505af7380,T_G2_STANDARD,EXPANDING,96,24.0,1.0,0.0,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22717,00a4659a5c667911,T_G2_STANDARD,ROLLING_4Y,160,64.0,1.5,0.0,0.0,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22718,00b12f051371025e,T_G2_STANDARD,EXPANDING,48,128.0,2.0,0.025,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22719,00b7809fe574ce3c,T_G1_FAST,EXPANDING,48,128.0,1.0,0.05,0.01,4,TRANSITION,T02_ANCESTRY_SESSION_VWAP
22720,00073480f7b46c96,T_G2_STANDARD,EXPANDING,48,128.0,2.0,0.01,0.03,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22721,000e4873e201c8d4,T_G1_FAST,ROLLING_8Y,24,128.0,2.0,0.0,0.01,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22722,000e83d96a4e1146,T_G1_FAST,ROLLING_8Y,48,64.0,1.0,0.01,0.01,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22723,0010a396aaf33224,T_G2_STANDARD,EXPANDING,96,24.0,1.0,0.0,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22724,0020b8cfce187642,T_G2_STANDARD,ROLLING_8Y,160,24.0,1.5,0.01,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22725,002ab4933db76e4f,T_G2_STANDARD,ROLLING_8Y,96,24.0,0.5,0.05,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22726,002dae546a682f86,T_G2_STANDARD,ROLLING_8Y,48,24.0,2.0,0.01,0.03,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22727,003047b2cc1f9639,T_G3_EXTENDED,ROLLING_8Y,96,64.0,1.0,0.05,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22728,00352882f7be141c,T_G3_EXTENDED,ROLLING_4Y,96,64.0,2.0,0.0,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22729,0035822515583189,T_G3_EXTENDED,ROLLING_8Y,48,24.0,1.0,0.01,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22730,0037407e92d7a529,T_G2_STANDARD,ROLLING_8Y,24,64.0,1.5,0.0,0.0,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22731,003b3b0eeb8e378e,T_G2_STANDARD,ROLLING_8Y,160,24.0,2.0,0.0,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22732,004125bae7c70165,T_G1_FAST,EXPANDING,48,24.0,1.5,0.01,0.03,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22733,0045b6ce22565bbd,T_G3_EXTENDED,ROLLING_8Y,160,24.0,2.0,0.01,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22734,004b0d29d5067e4d,T_G2_STANDARD,ROLLING_8Y,160,64.0,0.5,0.025,0.01,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22735,004f102f5b428983,T_G1_FAST,ROLLING_8Y,96,128.0,1.5,0.025,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22736,004f44755c8855a9,T_G3_EXTENDED,ROLLING_8Y,48,64.0,0.5,0.025,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22737,0056930e2b4a5662,T_G3_EXTENDED,ROLLING_4Y,48,128.0,1.5,0.025,0.0,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22738,0058219e6e5c168e,T_G3_EXTENDED,EXPANDING,24,128.0,1.0,0.0,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22739,005a59108176f9e2,T_G3_EXTENDED,EXPANDING,48,64.0,0.5,0.01,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22740,005a806e32d1cd8c,T_G1_FAST,ROLLING_4Y,24,24.0,1.0,0.05,0.0,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22741,0062e23576bc90f5,T_G3_EXTENDED,ROLLING_8Y,160,24.0,2.0,0.025,0.01,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22742,0063892492ac8361,T_G3_EXTENDED,EXPANDING,160,128.0,1.5,0.0,0.0,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22743,00645cfb8b7e3bf1,T_G1_FAST,ROLLING_4Y,48,128.0,2.0,0.025,0.01,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22744,0066789bbd719ea6,T_G3_EXTENDED,ROLLING_4Y,160,128.0,0.5,0.01,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22745,0078163a1b6b8fac,T_G3_EXTENDED,ROLLING_8Y,48,64.0,1.0,0.0,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22746,00786085ebac57dc,T_G2_STANDARD,ROLLING_8Y,48,128.0,2.0,0.025,0.03,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22747,00792b112815452d,T_G3_EXTENDED,ROLLING_4Y,24,24.0,2.0,0.025,0.03,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22748,00793489369047dc,T_G1_FAST,ROLLING_8Y,48,24.0,1.0,0.01,0.03,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22749,007e7f1145e07106,T_G1_FAST,ROLLING_8Y,160,64.0,1.0,0.01,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22750,0087cd8051b7e8a9,T_G3_EXTENDED,ROLLING_8Y,24,24.0,1.0,0.01,0.01,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22751,00893750bf66d50b,T_G1_FAST,ROLLING_4Y,24,128.0,0.5,0.025,0.03,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22752,008a3585ff16e245,T_G1_FAST,ROLLING_8Y,24,128.0,1.0,0.05,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22753,00941a081744b251,T_G3_EXTENDED,ROLLING_4Y,48,24.0,1.0,0.05,0.01,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22754,009623a56a5d5bc8,T_G1_FAST,ROLLING_8Y,24,128.0,0.5,0.0,0.0,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22755,00970cbb041e61ac,T_G3_EXTENDED,ROLLING_8Y,160,24.0,0.5,0.0,0.01,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22756,0099dff88e1874e8,T_G2_STANDARD,ROLLING_8Y,160,24.0,0.5,0.01,0.01,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22757,009f71d19c62587e,T_G3_EXTENDED,ROLLING_4Y,48,24.0,2.0,0.0,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22758,00a56d418c7b2c6d,T_G3_EXTENDED,ROLLING_8Y,24,24.0,1.0,0.025,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22759,00a5dcaf26718391,T_G2_STANDARD,EXPANDING,24,24.0,1.5,0.05,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22760,00a714fc9d3587f4,T_G3_EXTENDED,ROLLING_8Y,48,128.0,2.0,0.0,0.01,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22761,00a880cc0603a510,T_G1_FAST,ROLLING_8Y,48,24.0,1.0,0.0,0.01,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22762,00aa94576e9a91ee,T_G2_STANDARD,ROLLING_4Y,24,64.0,2.0,0.01,0.03,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22763,00b3f81f21eeed5a,T_G2_STANDARD,ROLLING_8Y,96,24.0,1.0,0.025,0.01,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22764,00bb687d78c8bbca,T_G2_STANDARD,ROLLING_4Y,160,24.0,1.5,0.05,0.03,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22765,00c01a65e77e66ec,T_G2_STANDARD,ROLLING_8Y,96,64.0,1.0,0.01,0.03,6,TRANSITION,T03_AGE_ADX_MOMENTUM
22766,00c056469f693a31,T_G3_EXTENDED,ROLLING_8Y,96,24.0,1.0,0.025,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22767,00c085c47759f576,T_G1_FAST,ROLLING_8Y,24,24.0,1.5,0.05,0.01,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22768,00c29661627d9f9d,T_G1_FAST,ROLLING_4Y,24,24.0,0.5,0.05,0.0,4,TRANSITION,T03_AGE_ADX_MOMENTUM
22769,00c52ff514ade616,T_G2_STANDARD,EXPANDING,48,128.0,0.5,0.01,0.0,2,TRANSITION,T03_AGE_ADX_MOMENTUM
22770,000b3bd7ac52e477,T_G1_FAST,EXPANDING,96,24.0,1.5,0.025,0.0,4,TRANSITION,T04_AGE_H4ER_EMA
22771,000bcd17fab0ab15,T_G1_FAST,ROLLING_4Y,24,24.0,2.0,0.05,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22772,000c5604984a7b94,T_G1_FAST,ROLLING_4Y,160,128.0,1.5,0.0,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22773,000e1651b931cfd2,T_G3_EXTENDED,EXPANDING,24,128.0,0.5,0.025,0.03,4,TRANSITION,T04_AGE_H4ER_EMA
22774,0017e822b2543d86,T_G1_FAST,EXPANDING,160,64.0,1.5,0.0,0.0,4,TRANSITION,T04_AGE_H4ER_EMA
22775,001e22368011600d,T_G3_EXTENDED,ROLLING_4Y,24,128.0,0.5,0.01,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22776,002fe476586c720b,T_G2_STANDARD,ROLLING_4Y,160,24.0,2.0,0.025,0.0,4,TRANSITION,T04_AGE_H4ER_EMA
22777,00341cb1e54c57ab,T_G3_EXTENDED,ROLLING_4Y,48,128.0,2.0,0.025,0.03,2,TRANSITION,T04_AGE_H4ER_EMA
22778,003a1f522f4f64f6,T_G2_STANDARD,ROLLING_4Y,96,128.0,1.5,0.0,0.0,4,TRANSITION,T04_AGE_H4ER_EMA
22779,003bafda5c7852b3,T_G1_FAST,EXPANDING,160,64.0,1.0,0.05,0.0,6,TRANSITION,T04_AGE_H4ER_EMA
22780,003de2b84bfe4621,T_G2_STANDARD,ROLLING_4Y,48,24.0,2.0,0.01,0.03,2,TRANSITION,T04_AGE_H4ER_EMA
22781,003ed8af5e8b727c,T_G2_STANDARD,EXPANDING,24,128.0,1.5,0.0,0.0,4,TRANSITION,T04_AGE_H4ER_EMA
22782,00438ca5990845ec,T_G2_STANDARD,ROLLING_8Y,160,64.0,1.5,0.01,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22783,004dfece070c7670,T_G1_FAST,ROLLING_8Y,96,64.0,1.5,0.025,0.01,6,TRANSITION,T04_AGE_H4ER_EMA
22784,0050883e72fbdbcb,T_G2_STANDARD,EXPANDING,24,24.0,1.0,0.01,0.03,2,TRANSITION,T04_AGE_H4ER_EMA
22785,0055a11eabafe245,T_G3_EXTENDED,ROLLING_8Y,96,24.0,1.5,0.0,0.03,2,TRANSITION,T04_AGE_H4ER_EMA
22786,0058271fa3af162e,T_G2_STANDARD,EXPANDING,48,24.0,2.0,0.0,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22787,005aa1e4d45152e1,T_G2_STANDARD,ROLLING_8Y,48,24.0,1.5,0.05,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22788,005b87d5a06d6410,T_G3_EXTENDED,EXPANDING,160,24.0,1.5,0.0,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22789,005c2cd1d9c4e2eb,T_G2_STANDARD,ROLLING_8Y,160,128.0,1.5,0.01,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22790,005d820dbdc9227d,T_G3_EXTENDED,ROLLING_4Y,24,64.0,2.0,0.0,0.01,4,TRANSITION,T04_AGE_H4ER_EMA
22791,005dedf9030c9ced,T_G2_STANDARD,EXPANDING,24,24.0,2.0,0.025,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22792,0062e3c14e3902a5,T_G3_EXTENDED,ROLLING_8Y,24,64.0,2.0,0.025,0.0,6,TRANSITION,T04_AGE_H4ER_EMA
22793,006d06908749c4dd,T_G3_EXTENDED,ROLLING_4Y,24,64.0,2.0,0.0,0.03,4,TRANSITION,T04_AGE_H4ER_EMA
22794,0070384005c1d73f,T_G1_FAST,ROLLING_4Y,24,64.0,1.0,0.05,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22795,007d2360dbeb7d28,T_G1_FAST,EXPANDING,48,128.0,2.0,0.025,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22796,0083afeef543876e,T_G1_FAST,ROLLING_8Y,24,24.0,1.0,0.05,0.0,6,TRANSITION,T04_AGE_H4ER_EMA
22797,008514195c3ba30a,T_G3_EXTENDED,ROLLING_4Y,24,128.0,0.5,0.05,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22798,008587ce57372e9f,T_G1_FAST,ROLLING_4Y,48,64.0,1.0,0.0,0.0,6,TRANSITION,T04_AGE_H4ER_EMA
22799,0091adf712b80e2a,T_G3_EXTENDED,ROLLING_4Y,160,64.0,2.0,0.025,0.01,4,TRANSITION,T04_AGE_H4ER_EMA
22800,009d155d64e4383a,T_G3_EXTENDED,EXPANDING,96,24.0,0.5,0.0,0.01,6,TRANSITION,T04_AGE_H4ER_EMA
22801,009f50294de93f28,T_G2_STANDARD,ROLLING_8Y,24,64.0,1.0,0.01,0.01,6,TRANSITION,T04_AGE_H4ER_EMA
22802,00acee7a5ba52408,T_G2_STANDARD,ROLLING_4Y,48,64.0,1.0,0.05,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22803,00b08ad639599104,T_G2_STANDARD,EXPANDING,48,24.0,2.0,0.01,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22804,00be79e8f39d2821,T_G3_EXTENDED,ROLLING_4Y,24,64.0,1.5,0.01,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22805,00c09036adb514fb,T_G1_FAST,EXPANDING,96,128.0,0.5,0.01,0.03,4,TRANSITION,T04_AGE_H4ER_EMA
22806,00c741daa8714fff,T_G1_FAST,ROLLING_4Y,48,64.0,1.5,0.025,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22807,00c82fb5f6b8c66c,T_G1_FAST,ROLLING_4Y,160,24.0,1.5,0.025,0.03,2,TRANSITION,T04_AGE_H4ER_EMA
22808,00cbf18eec3ac2b8,T_G2_STANDARD,ROLLING_8Y,96,64.0,1.0,0.01,0.01,2,TRANSITION,T04_AGE_H4ER_EMA
22809,00d2aa8f4e962cf3,T_G3_EXTENDED,EXPANDING,48,128.0,1.0,0.01,0.0,4,TRANSITION,T04_AGE_H4ER_EMA
22810,00d67fedd0fc9903,T_G2_STANDARD,ROLLING_8Y,24,64.0,2.0,0.0,0.01,6,TRANSITION,T04_AGE_H4ER_EMA
22811,00d9a45d652650d2,T_G2_STANDARD,ROLLING_8Y,24,24.0,1.0,0.05,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22812,00da72c7cda45ded,T_G1_FAST,EXPANDING,160,128.0,0.5,0.0,0.01,4,TRANSITION,T04_AGE_H4ER_EMA
22813,00dead535a62118c,T_G3_EXTENDED,ROLLING_8Y,160,128.0,1.0,0.0,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22814,00e3bf6e0f84aa29,T_G1_FAST,EXPANDING,48,24.0,1.5,0.0,0.01,6,TRANSITION,T04_AGE_H4ER_EMA
22815,00e4d4e8951d1297,T_G2_STANDARD,EXPANDING,24,128.0,1.5,0.025,0.03,6,TRANSITION,T04_AGE_H4ER_EMA
22816,00e526de9452e80e,T_G3_EXTENDED,ROLLING_4Y,160,24.0,1.0,0.0,0.0,6,TRANSITION,T04_AGE_H4ER_EMA
22817,00e646822750bb79,T_G1_FAST,EXPANDING,96,24.0,2.0,0.0,0.0,6,TRANSITION,T04_AGE_H4ER_EMA
22818,00e836491436fd41,T_G1_FAST,ROLLING_8Y,160,128.0,1.5,0.025,0.0,2,TRANSITION,T04_AGE_H4ER_EMA
22819,00ea4f60ed157884,T_G2_STANDARD,ROLLING_4Y,96,128.0,2.0,0.025,0.03,2,TRANSITION,T04_AGE_H4ER_EMA
22820,0003a933f192f37e,T_G2_STANDARD,ROLLING_8Y,160,64.0,1.5,0.0,0.01,6,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22821,0005d768fe49f06f,T_G2_STANDARD,ROLLING_4Y,24,128.0,1.5,0.05,0.03,4,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22822,000aa6d67ae3d08c,T_G1_FAST,EXPANDING,24,128.0,1.5,0.025,0.01,2,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22823,0012695794a82bc1,T_G2_STANDARD,EXPANDING,48,128.0,0.5,0.05,0.01,4,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22824,00182ca4189a2d11,T_G3_EXTENDED,EXPANDING,96,64.0,1.5,0.05,0.01,2,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22825,001d6a8de00279ff,T_G2_STANDARD,ROLLING_8Y,160,128.0,2.0,0.0,0.03,6,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22826,00311cec48d59813,T_G1_FAST,EXPANDING,48,24.0,2.0,0.0,0.01,6,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
22827,0031cb32c71f6cff,T_G2_STANDARD,ROLLING_4Y,160,128.0,0.5,0.01,0.0,4,TRANSITION,T05_ANCESTRY_LOCATION_CANDLE
