candidate_id,family_id,signal_time,session_date,direction,direction_sign,stop_frozen,atr_value,target_r,maximum_hold_hours,close,running_poc,prior_session_poc,prior_session_value_low,prior_session_value_high,cumulative_delta_ratio,cumulative_volume_ratio
e85794c943292369bd95947ee7401627c62a1bb2f37f427d7edf570e434486ad,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-04 13:00:00+00:00,2022-07-04,SHORT,-1,1808.8494402607143,1.2228708949582194,1.25,2.0,1808.3,1808.9,1801.6,1795.1,1809.4,0.08709175738724728,
9da55798360c70bcfcd803081cf7bbda19c9eeee673a7db7d63fcc915dcd9dc5,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-06 12:50:00+00:00,2022-07-06,LONG,1,1763.045452026883,2.0541740860201747,1.25,2.0,1763.5,1760.5,1765.0,1763.0,1784.6,0.05263157894736842,
9093fedab93a0f6dce6997b322775916cf7b51602eb1f0275861a8c23d4554b0,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-08 13:05:00+00:00,2022-07-08,LONG,1,1738.0522555312295,2.8091111397300943,1.25,2.0,1738.8,1738.0,1739.7,1738.4,1744.4,0.02509117432530999,
7db775fe0fb6ca8ac5b6d49008cf35d21038afa1a67f4e2cd42b3659c7726c26,COMEX_PRIOR_VALUE_ACCEPTANCE_CONTINUATION_V1,2022-07-08 14:55:00+00:00,2022-07-08,LONG,1,1744.2634486113652,2.6780513886346733,1.5,3.0,1745.8,1739.3,1739.7,1738.4,1744.4,0.05242715002749056,
784c3aaf4adbe10200d32bd608870b319c9d1ffea4adea77a6550ce2aff2679d,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-08 15:20:00+00:00,2022-07-08,SHORT,-1,1746.1612907643657,2.407400899253919,1.25,2.0,1742.7,1739.3,1739.7,1738.4,1744.4,0.05090873717148462,
71a5580e8de1182089e85eb9495096d12d6730082451b5c5fff9b5a0304976c4,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-11 12:50:00+00:00,2022-07-11,LONG,1,1734.7077455213287,1.2638287984368144,1.25,2.0,1733.9,1733.8,1742.5,1733.8,1744.0,-0.029757531227038943,
ee98ef0c0f083ecfe129af2e2c6cc87d8addc9f69a4e5172d54a715162d8a319,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-13 14:40:00+00:00,2022-07-13,LONG,1,1727.1924998132606,3.4264708079287858,1.25,2.0,1728.5,1710.0,1729.0,1727.1,1732.1,0.04599138693882367,
cdbf8e6e2f6851a218a7627523ba54739b68b498b94222c138e59eb433ee9163,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-15 13:20:00+00:00,2022-07-15,SHORT,-1,1712.4107498241676,2.9502939107857213,1.25,2.0,1708.2,1706.7,1704.0,1700.0,1708.7,-0.01580018181031124,
29c67a38f7f28c6cb440161e76601b278913eddd1658ada99a17b543d395792d,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-19 13:10:00+00:00,2022-07-19,LONG,1,1709.4825807457178,1.4951991226850563,1.25,2.0,1708.6,1707.7,1710.1,1708.0,1714.9,0.07603686635944701,
e43f831245dbe04596c4ba597c304a0f8ae4edd2035057b8f71cb0700b2367d3,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-20 13:20:00+00:00,2022-07-20,LONG,1,1708.9851219803702,1.4780917877999702,1.25,2.0,1708.1,1707.5,1710.9,1708.0,1711.8,-0.0048250904704463205,
1cfc9559804aeda356435a1b6d1355192c0f883c0aab84e1e49ccc20b832dfd3,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-20 13:35:00+00:00,2022-07-20,SHORT,-1,1713.9159097063146,1.708129066252377,1.25,2.0,1710.6,1708.5,1710.9,1708.0,1711.8,-0.00024692882276683745,
fb444fb591ebd462d8c6dd8e90e827f507dc10fde2a4ddcdda74159b203349ed,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-21 13:00:00+00:00,2022-07-21,LONG,1,1704.4251173510931,2.7928031163609943,1.25,2.0,1705.0,1698.1,1706.5,1704.4,1710.9,0.0730329337191677,
3f7aa9ff915148b9079345f220bd17f0198cd8787a00133dbf48714bad4fc5d5,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-21 15:40:00+00:00,2022-07-21,SHORT,-1,1714.3149223926252,2.9528498736768563,1.25,2.0,1710.1,1701.0,1706.5,1704.4,1710.9,0.012261341741110527,
93829f4c9a34c1ef841f37f1a0c7fc7624c824026a3c51c5a1e62e14c91aa6f9,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-25 13:20:00+00:00,2022-07-25,LONG,1,1724.0196789126776,1.5115542203793157,1.25,2.0,1723.3,1723.5,1723.0,1721.7,1732.8,0.021300448430493273,
fa2ed5aa589926f51a0833ba591a53263a6bc048dfd593b827fc2b5dea65f866,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-26 14:05:00+00:00,2022-07-26,SHORT,-1,1720.3075118206398,1.9247197889880254,1.25,2.0,1716.8,1718.0,1717.2,1713.5,1719.3,0.007280630263515349,
4825f890825b07d2518d0c96d9effe8c67915c3533f93bd77d29cff8f4a5e7d4,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-27 15:20:00+00:00,2022-07-27,LONG,1,1718.2086556242248,1.5586404420885644,1.25,2.0,1717.3,1712.0,1717.5,1715.8,1719.1,0.02905338196286472,
c52027b0eebdbba89829707e4904ec3efd51bba2fa20218bb6ae747ba98ac4d6,COMEX_PRIOR_VALUE_FAILED_AUCTION_V1,2022-07-27 16:20:00+00:00,2022-07-27,SHORT,-1,1720.966849156824,1.2962931256752734,1.25,2.0,1718.1,1712.0,1717.5,1715.8,1719.1,0.0181430481766598,
382f2287a58ce8bf2754345509ec6b5da8aaa02bbd9eca97ca627a205a912c07,COMEX_PRIOR_VALUE_ACCEPTANCE_CONTINUATION_V1,2022-07-29 13:20:00+00:00,2022-07-29,LONG,1,1754.6861174165576,2.113882583442365,1.5,3.0,1754.6,1755.5,1753.2,1745.4,1753.5,0.05952380952380952,0.00695969178507809
