attempt_no,variant_id,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json
31239,0000071677bc9974,CHOP,CHOP_FLOW_CONTINUATION,1470,277,"{""book_min"":0.03,""chop_age_max"":144,""chop_age_min"":12,""efficiency_min"":0.035,""imbalance_min"":0.015,""imbalance_window"":""5m"",""intensity_min"":0.7,""require_body_alignment"":true,""require_trend_alignment"":true,""session"":""NY"",""spread_ratio_max"":1.15}"
31240,00000a5ca0f53850,CHOP,CHOP_FLOW_CONTINUATION,524,105,"{""book_min"":0.03,""chop_age_max"":48,""chop_age_min"":1,""efficiency_min"":0.0,""imbalance_min"":0.025,""imbalance_window"":""5m"",""intensity_min"":1.0,""require_body_alignment"":true,""require_trend_alignment"":true,""session"":""LONDON"",""spread_ratio_max"":1.3}"
31241,00006b2c9df375ab,CHOP,CHOP_FLOW_CONTINUATION,265,47,"{""book_min"":0.03,""chop_age_max"":144,""chop_age_min"":48,""efficiency_min"":0.035,""imbalance_min"":0.05,""imbalance_window"":""15m"",""intensity_min"":0.3,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""NY"",""spread_ratio_max"":1.3}"
31242,0000c0098006b8b5,CHOP,CHOP_FLOW_CONTINUATION,2288,490,"{""book_min"":0.03,""chop_age_max"":2000,""chop_age_min"":1,""efficiency_min"":0.0,""imbalance_min"":0.025,""imbalance_window"":""5m"",""intensity_min"":0.7,""require_body_alignment"":false,""require_trend_alignment"":true,""session"":""LATE"",""spread_ratio_max"":1.5}"
31243,0000f3b8e7b99a9e,CHOP,CHOP_FLOW_CONTINUATION,278,22,"{""book_min"":0.03,""chop_age_max"":2000,""chop_age_min"":48,""efficiency_min"":0.015,""imbalance_min"":0.07,""imbalance_window"":""15m"",""intensity_min"":0.7,""require_body_alignment"":false,""require_trend_alignment"":true,""session"":""LATE"",""spread_ratio_max"":1.3}"
31244,00014abf49285c36,CHOP,CHOP_FLOW_CONTINUATION,880,185,"{""book_min"":0.1,""chop_age_max"":48,""chop_age_min"":1,""efficiency_min"":0.015,""imbalance_min"":0.015,""imbalance_window"":""5m"",""intensity_min"":0.3,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""LATE"",""spread_ratio_max"":1.5}"
31245,000153bcd5b1dba1,CHOP,CHOP_FLOW_CONTINUATION,142,19,"{""book_min"":0.06,""chop_age_max"":48,""chop_age_min"":1,""efficiency_min"":0.015,""imbalance_min"":0.05,""imbalance_window"":""15m"",""intensity_min"":0.7,""require_body_alignment"":true,""require_trend_alignment"":true,""session"":""LONDON"",""spread_ratio_max"":1.3}"
31246,00016cd2b4c97d02,CHOP,CHOP_FLOW_CONTINUATION,2071,463,"{""book_min"":0.1,""chop_age_max"":432,""chop_age_min"":1,""efficiency_min"":0.0,""imbalance_min"":0.05,""imbalance_window"":""5m"",""intensity_min"":0.7,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""NY"",""spread_ratio_max"":1.3}"
31247,0002b1e316c21fe9,CHOP,CHOP_FLOW_CONTINUATION,10169,1906,"{""book_min"":0.0,""chop_age_max"":2000,""chop_age_min"":12,""efficiency_min"":0.0,""imbalance_min"":0.05,""imbalance_window"":""5m"",""intensity_min"":1.0,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""ALL"",""spread_ratio_max"":1.3}"
31248,000332bc2c5f75e1,CHOP,CHOP_FLOW_CONTINUATION,1163,278,"{""book_min"":0.1,""chop_age_max"":144,""chop_age_min"":12,""efficiency_min"":0.015,""imbalance_min"":0.015,""imbalance_window"":""5m"",""intensity_min"":0.3,""require_body_alignment"":false,""require_trend_alignment"":true,""session"":""LATE"",""spread_ratio_max"":1.15}"
