priority,feature_name,formula,timing,units,criticality,notes
1,h1_ema20_slope_aligned_atr,"direction_sign * (EMA20_H1[1] - EMA20_H1[4]) / ATR14_H1[1]","completed H1 bars before decision","ATR-normalized","critical","First feature in ordered prefix"
2,retest_penetration_atr,"retest penetration / ATR14_M5[1]","completed signal context before decision","ATR-normalized","critical","Geometry"
3,confirmation_body_ratio,"abs(close-open) / max(high-low, tick_size)","completed confirmation bar before decision","ratio","critical","Geometry"
4,cost_R,"estimated executable cost / risk_price","decision-time spread and risk","R","critical","Cost must be causal"
5,confirmation_close_location_aligned,"LONG: (close-low)/range; SHORT: 1 - (close-low)/range","completed confirmation bar before decision","ratio","critical","Direction-normalized"
6,break_distance_atr,"break distance / ATR14_M5[1]","completed break bar before decision","ATR-normalized","critical","Geometry"
7,m15_ema20_slope_aligned_atr,"direction_sign * (EMA20_M15[1] - EMA20_M15[4]) / ATR14_M15[1]","completed M15 bars before decision","ATR-normalized","noncritical","Trend"
8,bars_break_to_retest_scaled,"min(bars_break_to_retest, 20) / 20","completed signal context before decision","scaled count","critical","Timing"
9,impulse_alignment_12,"direction_sign * ret12_m5_atr","completed M5 bars before decision","ATR-normalized","noncritical","Impulse"
10,price_h1_ema20_distance_aligned_atr,"direction_sign * (price - EMA20_H1[1]) / ATR14_H1[1]","decision-time price and completed H1 bars","ATR-normalized","noncritical","Trend distance"
11,m5_atr_percentile_trailing_20d,"causal percentile of ATR14_M5 over trailing 20 active days excluding current row","window ends strictly before decision","percentile","noncritical","Causal percentile"
12,spread_percentile_session_trailing_20d,"causal session percentile of spread over trailing 20 active days excluding current row","window ends strictly before decision","percentile","noncritical","Causal percentile"
13,d1_trend_score_aligned,"direction_sign * (EMA20_D1[1] - EMA20_D1[6]) / ATR14_D1[1]","completed D1 bars before decision","ATR-normalized","noncritical","Regime/trend"
14,range_compression_ratio_20,"recent range / trailing 20-bar range baseline","completed M5 bars before decision","ratio","noncritical","Volatility context"
15,tick_volume_ratio_20,"recent tick volume / trailing 20-bar tick-volume baseline","completed M5 bars before decision","ratio","noncritical","Volume context"
16,minutes_from_session_start_scaled,"minutes from locked session start / session length","decision-time session clock","scaled time","noncritical","Time context"
conditional,h1_slope_direction_interaction,"direction_sign * h1_ema20_slope_aligned_atr","only when ASYMMETRY_DEMONSTRATED inside inner OOF gate","interaction","noncritical","Consumes one budget slot; if budget is full replaces the last ordered-prefix feature"
