specialist_id,metric,reviewed_value,corrected_value,absolute_difference,relative_difference,classification_impact
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,trade count,2038,2038,0,0,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,win count,893,893,0,0,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,loss count,1144,1144,0,0,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,baseline PF,0.609146334957,0.609146334957,7.71605002114e-14,1.2666989159e-13,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,baseline expectancy,-0.153951860141,-0.153951860141,-1.36141098395e-13,-8.84309538514e-13,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,baseline net R,-313.753890968,-313.753890968,3.64536845154e-10,1.16185601406e-12,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,stress PF,0.441375905714,0.441375905714,3.96016552884e-13,8.97231923531e-13,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,stress expectancy,-0.252532220988,-0.252532220988,-4.7789550095e-13,-1.89241396239e-12,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,stress net R,-514.660666375,-514.660666375,4.8203219194e-10,9.3660196598e-13,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,broker-transfer PF,0.371379954409,0.371379954409,-4.50639525695e-13,-1.21341908831e-12,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,broker-transfer expectancy,-0.303951860141,-0.303951860141,-1.36113342819e-13,-4.4781217248e-13,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,broker-transfer net R,-619.453890968,-619.453890968,3.64593688573e-10,5.8857276367e-13,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,maximum closed drawdown,315.079761261,315.079761261,-3.37024630426e-10,-1.06964861557e-12,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,top-ten winner share,0.0306757148348,0.0306757148348,3.31054628155e-14,1.07920754231e-12,UNCHANGED_STAGE_A_CLASSIFICATION
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,top-three winning-day share baseline,0.0466357667429,0.0202937333769,-0.026342033366,-0.564846151479,UNCHANGED_STAGE_A_CLASSIFICATION
